t_s,uc
0.126001,1433.4640
0.376001,1432.1040
0.626001,1432.8880
0.876001,1433.4960
1.126001,1433.2400
1.376001,1433.0480
1.626001,1432.3200
1.876001,1430.7840
2.126001,1430.3520
2.376001,1430.9440
2.626001,1431.1680
2.876000,1430.6160
3.126001,1431.1360
3.376000,1430.5440
3.626001,1431.8320
3.876000,1431.3120
4.126001,1431.0960
4.376001,1431.6800
4.626001,1430.3840
4.876001,1431.4080
5.126001,1431.2800
5.376001,1430.9360
5.626000,1433.0640
5.876000,1432.7360
6.126001,1432.9360
6.376001,1432.3600
6.626001,1431.7840
6.876001,1432.3920
7.126001,1433.3360
7.376001,1432.3840
7.626001,1432.8640
7.876001,1432.2160
8.126001,1432.1920
8.376001,1431.0720
8.626000,1432.9840
8.876001,1432.5840
9.126001,1433.2640
9.376000,1432.8800
9.626001,1433.0240
9.876001,1432.4160
10.126000,1431.6160
10.376001,1433.0080
10.626000,1433.9280
10.876001,1431.6480
11.126000,1432.4800
11.376001,1433.2960
11.626000,1433.4080
11.876001,1433.4320
12.126001,1432.8640
12.376001,1432.6240
12.626001,1433.3200
12.876001,1433.3360
13.126000,1433.6640
13.376001,1433.8960
13.626000,1432.7600
13.876001,1433.3680
14.126000,1433.6880
14.376001,1435.4000
14.626000,1433.3120
14.876001,1433.8800
15.126000,1433.9920
15.376001,1433.5680
15.626001,1433.6560
15.876000,1433.6880
16.126001,1433.6160
16.376001,1433.5120
16.626000,1433.8560
16.876001,1433.9680
17.126001,1434.9040
17.376001,1433.7120
17.626001,1434.7760
17.876001,1434.9520
18.126000,1433.6000
18.376000,1434.7840
18.626001,1434.5120
18.876000,1434.7120
19.126001,1434.3920
19.376000,1433.6240
19.626000,1434.5760
19.876001,1434.7280
20.126000,1434.7360
20.376001,1434.4320
20.626001,1434.2400
20.876001,1434.6560
21.126000,1434.6880
21.376001,1434.7280
21.626000,1435.3920
21.876001,1435.4080
22.126000,1356.1040
22.376000,1479.3920
22.626000,1557.8080
22.876000,1556.4320
23.126001,1640.2800
23.376000,1689.5440
23.626000,1706.4160
23.876001,1754.8000
24.126000,1759.5200
24.376000,1799.6240
24.626001,1765.6400
24.876001,1748.6560
25.126000,1759.6320
25.376001,1768.9600
25.626001,1814.4640
25.876000,1785.2240
26.126001,1845.4560
26.376001,1857.4080
26.626000,1885.5840
26.876001,1845.2800
27.126000,1865.7760
27.376001,1863.1760
27.626000,1883.9840
27.876001,1896.7840
28.126000,1892.9520
28.376001,1896.2400
28.626001,1898.0880
28.876000,1898.3840
29.126001,1902.9520
29.376000,1962.9760
29.626001,1958.5840
29.876000,1940.9760
30.126000,1918.9360
30.376001,1947.1200
30.626001,1994.6080
30.876000,2018.5760
31.126000,2000.1520
31.376000,2064.2480
31.626001,2094.7120
31.876001,2126.5040
32.126000,2123.6240
32.376001,2162.3600
32.626001,2165.6640
32.876000,2176.7920
33.126001,2182.9600
33.376001,2168.5040
