scheduled_s,host_s,device_us,device_s,phase,cycle
0.000,0.000,0,0.000,BASELINE,0
60.000,60.002,60012000,60.012,RAMP,1
80.000,80.001,80012000,80.012,HOLD,1
105.000,105.001,105012000,105.012,FALL,1
125.000,125.001,125012000,125.012,REST,1
225.000,225.000,225012000,225.012,RAMP,2
245.000,245.000,245012000,245.012,HOLD,2
270.000,270.002,270014001,270.014,FALL,2
290.000,290.002,290014000,290.014,REST,2
390.000,390.001,390014000,390.014,RAMP,3
410.000,410.000,410014000,410.014,HOLD,3
435.000,435.000,435014000,435.014,FALL,3
455.000,455.002,455016000,455.016,REST,3
555.000,555.001,555016001,555.016,RAMP,4
575.000,575.001,575016000,575.016,HOLD,4
600.000,600.001,600016000,600.016,FALL,4
620.000,620.000,620016000,620.016,REST,4
720.000,720.001,720018000,720.018,RAMP,5
740.000,740.001,740018001,740.018,HOLD,5
765.000,765.001,765018001,765.018,FALL,5
785.000,785.001,785018000,785.018,REST,5
885.000,885.002,885020000,885.020,RAMP,6
905.000,905.002,905020000,905.020,HOLD,6
930.000,930.002,930020000,930.020,FALL,6
950.000,950.001,950020000,950.020,REST,6
1050.000,1050.000,1050020000,1050.020,RAMP,7
1070.000,1070.000,1070020000,1070.020,HOLD,7
1095.000,1095.002,1095022000,1095.022,FALL,7
1115.000,1115.002,1115022000,1115.022,REST,7
