ms,adc
14,1877
18,1994
22,1987
26,1884
30,1808
34,1863
38,1978
42,1982
46,1884
50,1810
54,1870
58,1985
62,1970
66,1871
70,1802
74,1855
78,1973
82,1965
86,1857
90,1795
94,1851
98,1972
102,1968
106,1862
110,1792
114,1837
118,1963
122,1975
126,1874
130,1797
134,1843
138,1983
142,1981
146,1870
150,1803
154,1855
158,1971
162,1953
166,1838
170,1776
174,1841
178,1968
182,1954
186,1843
190,1793
194,1879
198,2025
202,2023
206,1930
210,1872
214,1941
218,2102
222,2141
226,2085
230,2064
234,2124
238,2207
242,2131
246,1961
250,1846
254,1847
258,1941
262,1907
266,1777
270,1712
274,1767
278,1871
282,1842
286,1730
290,1675
294,1728
298,1834
302,1805
306,1685
310,1645
314,1718
318,1813
322,1803
326,1689
330,1646
334,1709
338,1814
342,1771
346,1615
350,1466
354,1440
358,1489
362,1424
366,1333
370,1616
374,2310
378,3233
382,4095
386,4095
390,3524
394,2754
398,2229
402,1810
406,1577
410,1490
414,1535
418,1649
422,1646
426,1535
430,1506
434,1566
438,1654
442,1599
446,1478
450,1454
454,1535
458,1648
462,1603
466,1472
470,1449
474,1535
478,1648
482,1611
486,1481
490,1456
494,1535
498,1648
502,1602
506,1485
510,1472
514,1563
518,1670
522,1618
526,1495
530,1488
534,1594
538,1686
542,1642
546,1495
550,1489
554,1597
558,1686
562,1639
566,1521
570,1509
574,1607
578,1696
582,1637
586,1507
590,1501
594,1606
598,1697
602,1645
606,1525
610,1527
614,1644
618,1740
622,1692
626,1582
630,1585
634,1697
638,1793
642,1749
646,1648
650,1667
654,1782
658,1863
662,1808
666,1695
670,1703
674,1805
678,1872
682,1808
686,1683
690,1686
694,1780
698,1839
702,1766
706,1645
710,1648
714,1761
718,1825
722,1759
726,1642
730,1643
734,1749
738,1814
742,1745
746,1630
750,1645
754,1756
758,1818
762,1754
766,1647
770,1659
774,1771
778,1830
782,1761
786,1648
790,1667
794,1782
798,1835
802,1757
806,1637
810,1654
814,1776
818,1827
822,1749
826,1635
830,1649
834,1776
838,1824
842,1749
846,1639
850,1663
854,1778
858,1825
862,1744
866,1631
870,1662
874,1779
878,1830
882,1744
886,1633
890,1663
894,1789
898,1823
902,1744
906,1643
910,1672
914,1798
918,1837
922,1751
926,1653
930,1685
934,1808
938,1843
942,1759
946,1649
950,1678
954,1806
958,1838
962,1754
966,1654
970,1687
974,1813
978,1840
982,1751
986,1660
990,1702
994,1827
998,1852
1002,1757
1006,1659
1010,1697
1014,1826
1018,1847
1022,1758
1026,1666
1030,1707
1034,1833
1038,1858
1042,1770
1046,1678
1050,1710
1054,1833
1058,1847
1062,1759
1066,1671
1070,1712
1074,1841
1078,1858
1082,1763
1086,1679
1090,1722
1094,1852
1098,1865
1102,1765
1106,1673
1110,1719
1114,1856
1118,1867
1122,1761
1126,1680
1130,1729
1134,1866
1138,1872
1142,1776
1146,1701
1150,1744
1154,1873
1158,1876
1162,1776
1166,1697
1170,1744
1174,1872
1178,1877
1182,1779
1186,1710
1190,1777
1194,1953
1198,1999
1202,1914
1206,1840
1210,1879
1214,2038
1218,2111
1222,2064
1226,2015
1230,2086
1234,2190
1238,2131
1242,1948
1246,1823
1250,1826
1254,1919
1258,1896
1262,1767
1266,1687
1270,1731
1274,1843
1278,1823
1282,1707
1286,1635
1290,1685
1294,1809
1298,1794
1302,1685
1306,1630
1310,1684
1314,1808
1318,1795
1322,1686
1326,1633
1330,1687
1334,1803
1338,1766
1342,1601
1346,1431
1350,1394
1354,1466
1358,1419
1362,1450
1366,1966
1370,2754
1374,3904
1378,4095
1382,4095
1386,3829
1390,2832
1394,2147
1398,1714
1402,1482
1406,1428
1410,1561
1414,1733
1418,1712
1422,1569
1426,1489
1430,1533
1434,1632
1438,1601
1442,1491
1446,1457
1450,1527
1454,1633
1458,1603
1462,1496
1466,1467
1470,1535
1474,1643
1478,1604
1482,1506
1486,1490
1490,1575
1494,1671
1498,1631
1502,1520
1506,1494
1510,1595
1514,1707
1518,1672
1522,1563
1526,1535
1530,1618
1534,1727
1538,1711
1542,1579
1546,1535
1550,1627
1554,1718
1558,1691
1562,1584
1566,1560
1570,1638
1574,1730
1578,1687
1582,1578
1586,1552
1590,1638
1594,1725
1598,1691
1602,1585
1606,1572
1610,1655
1614,1757
1618,1731
1622,1634
1626,1629
1630,1726
1634,1809
1638,1777
1642,1703
1646,1722
1650,1823
1654,1910
1658,1872
1662,1776
1666,1776
1670,1865
1674,1936
1678,1882
1682,1770
1686,1759
1690,1849
1694,1907
1698,1851
1702,1743
1706,1731
1710,1815
1714,1878
1718,1834
1722,1733
1726,1737
1730,1818
1734,1874
1738,1822
1742,1726
1746,1727
1750,1813
1754,1872
1758,1808
1762,1711
1766,1730
1770,1827
1774,1877
1778,1822
1782,1718
1786,1730
1790,1817
1794,1865
1798,1808
1802,1721
1806,1735
1810,1822
1814,1863
1818,1808
1822,1719
1826,1728
1830,1815
1834,1867
1838,1808
1842,1718
1846,1729
1850,1818
1854,1858
1858,1806
1862,1728
1866,1744
1870,1828
1874,1861
1878,1807
1882,1727
1886,1747
1890,1837
1894,1867
1898,1805
1902,1726
1906,1744
1910,1833
1914,1870
1918,1819
1922,1730
1926,1744
1930,1833
1934,1865
1938,1803
1942,1717
1946,1734
1950,1837
1954,1869
1958,1804
1962,1721
1966,1745
1970,1842
1974,1870
1978,1807
1982,1724
1986,1747
1990,1843
1994,1868
1998,1811
2002,1729
2006,1754
2010,1849
2014,1867
2018,1802
2022,1732
2026,1758
2030,1851
2034,1862
2038,1796
2042,1728
2046,1761
2050,1855
2054,1872
2058,1802
2062,1727
2066,1757
2070,1849
2074,1856
2078,1790
2082,1727
2086,1766
2090,1861
2094,1866
2098,1790
2102,1725
2106,1758
2110,1858
2114,1872
2118,1802
2122,1732
2126,1766
2130,1867
2134,1874
2138,1803
2142,1744
2146,1775
2150,1872
2154,1878
2158,1807
2162,1744
2166,1776
2170,1871
2174,1872
2178,1802
2182,1744
2186,1782
2190,1875
2194,1874
2198,1793
2202,1735
2206,1775
2210,1871
2214,1881
2218,1818
2222,1799
2226,1878
2230,1997
2234,1993
2238,1904
2242,1863
2246,1966
2250,2131
2254,2160
2258,2106
2262,2037
2266,2033
2270,2067
2274,1999
2278,1872
2282,1787
2286,1804
2290,1885
2294,1857
2298,1763
2302,1701
2306,1734
2310,1815
2314,1795
2318,1712
2322,1664
2326,1709
2330,1791
2334,1779
2338,1692
2342,1653
2346,1702
2350,1793
2354,1775
2358,1685
2362,1655
2366,1694
2370,1740
2374,1621
2378,1426
2382,1315
2386,1318
2390,1414
2394,1770
2398,2340
2402,3088
2406,4095
2410,4095
2414,4095
2418,3159
2422,2326
2426,1875
2430,1774
2434,1665
2438,1535
2442,1535
2446,1632
2450,1705
2454,1659
2458,1568
2462,1524
2466,1568
2470,1631
2474,1609
2478,1523
2482,1504
2486,1569
2490,1642
2494,1616
2498,1535
2502,1531
2506,1599
2510,1659
2514,1632
2518,1566
2522,1554
2526,1616
2530,1667
2534,1629
2538,1535
2542,1531
2546,1605
2550,1680
2554,1648
2558,1582
2562,1568
2566,1652
2570,1714
2574,1680
2578,1571
2582,1555
2586,1619
2590,1680
2594,1638
2598,1559
2602,1565
2606,1648
2610,1699
2614,1654
2618,1570
2622,1568
2626,1637
2630,1712
2634,1691
2638,1645
2642,1646
2646,1728
2650,1793
2654,1749
2658,1665
2662,1694
2666,1797
2670,1872
2674,1859
2678,1802
2682,1819
2686,1895
2690,1957
2694,1920
2698,1839
2702,1831
2706,1907
2710,1953
2714,1904
2718,1825
2722,1825
2726,1885
2730,1937
2734,1894
2738,1786
2742,1778
2746,1863
2750,1920
2754,1872
2758,1779
2762,1781
2766,1857
2770,1901
2774,1856
2778,1770
2782,1775
2786,1856
2790,1904
2794,1863
2798,1777
2802,1790
2806,1878
2810,1923
2814,1873
2818,1782
