detected,TP,FP,FN,sensitivity,PPV,DER,timing_mae_ms,fp_in_gap,fp_outside_span,fp_genuine,fp_in_span,fp_frac_in_gap,record,channel,group,gestation_weeks,ref_beats,units,fs,n_gaps,supplementary
391,375,16,0,1.0,0.959079283887468,0.042666666666666665,21.949333333333332,15,0,1,16,0.9375,ecgca102.edf,Thorax_1,thoracic,22.142857142857142,375,mV,1000.0,15,False
390,374,16,1,0.9973333333333333,0.958974358974359,0.04533333333333334,24.981283422459892,15,0,1,16,0.9375,ecgca102.edf,Thorax_2,thoracic,22.142857142857142,375,mV,1000.0,15,False
336,308,28,67,0.8213333333333334,0.9166666666666666,0.25333333333333335,7.785714285714286,15,0,13,28,0.5357142857142857,ecgca102.edf,Abdomen_1,abdominal,22.142857142857142,375,uV,1000.0,15,False
392,372,20,3,0.992,0.9489795918367347,0.06133333333333333,7.212365591397849,15,0,5,20,0.75,ecgca102.edf,Abdomen_2,abdominal,22.142857142857142,375,uV,1000.0,15,False
398,373,25,2,0.9946666666666667,0.9371859296482412,0.072,7.7479892761394105,16,0,9,25,0.64,ecgca102.edf,Abdomen_3,abdominal,22.142857142857142,375,uV,1000.0,15,False
1230,1143,87,3,0.9973821989528796,0.9292682926829269,0.07853403141361257,5.111986001749782,86,0,1,87,0.9885057471264368,ecgca115.edf,Thorax_1,thoracic,27.857142857142858,1146,mV,1000.0,86,False
1230,1143,87,3,0.9973821989528796,0.9292682926829269,0.07853403141361257,14.019247594050743,86,0,1,87,0.9885057471264368,ecgca115.edf,Thorax_2,thoracic,27.857142857142858,1146,mV,1000.0,86,False
1233,1143,90,3,0.9973821989528796,0.927007299270073,0.08115183246073299,8.004374453193352,87,0,3,90,0.9666666666666667,ecgca115.edf,Abdomen_1,abdominal,27.857142857142858,1146,uV,1000.0,86,False
1233,1143,90,3,0.9973821989528796,0.927007299270073,0.08115183246073299,7.785651793525809,86,0,4,90,0.9555555555555556,ecgca115.edf,Abdomen_2,abdominal,27.857142857142858,1146,uV,1000.0,86,False
1232,1143,89,3,0.9973821989528796,0.9277597402597403,0.08027923211169284,9.539807524059492,86,0,3,89,0.9662921348314607,ecgca115.edf,Abdomen_3,abdominal,27.857142857142858,1146,uV,1000.0,86,False
1234,1143,91,3,0.9973821989528796,0.9262560777957861,0.08202443280977312,9.11111111111111,86,0,5,91,0.945054945054945,ecgca115.edf,Abdomen_4,abdominal,27.857142857142858,1146,uV,1000.0,86,False
1127,1036,91,0,1.0,0.9192546583850931,0.08783783783783784,6.318532818532819,91,0,0,91,1.0,ecgca127.edf,Thorax_1,thoracic,31.571428571428573,1036,mV,1000.0,91,False
1127,1036,91,0,1.0,0.9192546583850931,0.08783783783783784,9.373552123552123,91,0,0,91,1.0,ecgca127.edf,Thorax_2,thoracic,31.571428571428573,1036,mV,1000.0,91,False
1127,1036,91,0,1.0,0.9192546583850931,0.08783783783783784,7.928571428571429,91,0,0,91,1.0,ecgca127.edf,Abdomen_1,abdominal,31.571428571428573,1036,uV,1000.0,91,False
1129,1036,93,0,1.0,0.9176262178919398,0.08976833976833977,7.648648648648648,91,1,1,92,0.9891304347826086,ecgca127.edf,Abdomen_2,abdominal,31.571428571428573,1036,uV,1000.0,91,False
1131,1036,95,0,1.0,0.9160035366931919,0.0916988416988417,9.044401544401545,91,0,4,95,0.9578947368421052,ecgca127.edf,Abdomen_3,abdominal,31.571428571428573,1036,uV,1000.0,91,False
1192,1034,158,2,0.9980694980694981,0.8674496644295302,0.15444015444015444,8.717601547388782,101,1,56,157,0.643312101910828,ecgca127.edf,Abdomen_4,abdominal,31.571428571428573,1036,uV,1000.0,91,False
468,435,33,0,1.0,0.9294871794871795,0.07586206896551724,19.49655172413793,32,1,0,32,1.0,ecgca154.edf,Thorax_1,thoracic,22.142857142857142,435,mV,1000.0,32,False
468,435,33,0,1.0,0.9294871794871795,0.07586206896551724,24.862068965517242,32,1,0,32,1.0,ecgca154.edf,Thorax_2,thoracic,22.142857142857142,435,mV,1000.0,32,False
472,435,37,0,1.0,0.9216101694915254,0.08505747126436781,6.418390804597701,33,2,2,35,0.9428571428571428,ecgca154.edf,Abdomen_1,abdominal,22.142857142857142,435,uV,1000.0,32,False
228,209,19,226,0.4804597701149425,0.9166666666666666,0.5632183908045977,7.181818181818182,15,2,2,17,0.8823529411764706,ecgca154.edf,Abdomen_2,abdominal,22.142857142857142,435,uV,1000.0,32,False
470,435,35,0,1.0,0.925531914893617,0.08045977011494253,7.657471264367816,32,2,1,33,0.9696969696969697,ecgca154.edf,Abdomen_3,abdominal,22.142857142857142,435,uV,1000.0,32,False
459,430,29,1,0.9976798143851509,0.9368191721132898,0.06960556844547564,23.188372093023254,27,1,1,28,0.9642857142857143,ecgca192.edf,Thorax_1,thoracic,22.142857142857142,431,mV,1000.0,27,False
455,427,28,4,0.9907192575406032,0.9384615384615385,0.07424593967517401,25.370023419203747,27,1,0,27,1.0,ecgca192.edf,Thorax_2,thoracic,22.142857142857142,431,mV,1000.0,27,False
445,417,28,14,0.9675174013921114,0.9370786516853933,0.09744779582366589,8.009592326139089,27,0,1,28,0.9642857142857143,ecgca192.edf,Abdomen_1,abdominal,22.142857142857142,431,uV,1000.0,27,False
446,417,29,14,0.9675174013921114,0.9349775784753364,0.09976798143851508,7.911270983213429,26,0,3,29,0.896551724137931,ecgca192.edf,Abdomen_2,abdominal,22.142857142857142,431,uV,1000.0,27,False
445,414,31,17,0.9605568445475638,0.9303370786516854,0.11136890951276102,8.828502415458937,27,0,4,31,0.8709677419354839,ecgca192.edf,Abdomen_3,abdominal,22.142857142857142,431,uV,1000.0,27,False
1038,955,83,0,1.0,0.9200385356454721,0.08691099476439791,5.7518324607329845,83,0,0,83,1.0,ecgca244.edf,Thorax_1,thoracic,38.0,955,mV,1000.0,83,False
1039,955,84,0,1.0,0.9191530317613089,0.08795811518324607,3.4041884816753925,83,0,1,84,0.9880952380952381,ecgca244.edf,Thorax_2,thoracic,38.0,955,mV,1000.0,83,False
1038,955,83,0,1.0,0.9200385356454721,0.08691099476439791,9.502617801047121,83,0,0,83,1.0,ecgca244.edf,Abdomen_1,abdominal,38.0,955,uV,1000.0,83,False
1041,954,87,1,0.9989528795811519,0.9164265129682997,0.09214659685863874,9.79979035639413,84,1,2,86,0.9767441860465116,ecgca244.edf,Abdomen_2,abdominal,38.0,955,uV,1000.0,83,False
1039,955,84,0,1.0,0.9191530317613089,0.08795811518324607,9.208376963350785,83,1,0,83,1.0,ecgca244.edf,Abdomen_3,abdominal,38.0,955,uV,1000.0,83,False
1038,955,83,0,1.0,0.9200385356454721,0.08691099476439791,7.032460732984293,83,0,0,83,1.0,ecgca244.edf,Abdomen_4,abdominal,38.0,955,uV,1000.0,83,False
1021,963,58,0,1.0,0.9431929480901078,0.060228452751817235,6.489096573208723,58,0,0,58,1.0,ecgca252.edf,Thorax_1,thoracic,29.285714285714285,963,mV,1000.0,58,False
1021,963,58,0,1.0,0.9431929480901078,0.060228452751817235,7.894080996884735,58,0,0,58,1.0,ecgca252.edf,Thorax_2,thoracic,29.285714285714285,963,mV,1000.0,58,False
1022,963,59,0,1.0,0.9422700587084148,0.0612668743509865,8.700934579439252,58,0,1,59,0.9830508474576272,ecgca252.edf,Abdomen_1,abdominal,29.285714285714285,963,uV,1000.0,58,False
1021,963,58,0,1.0,0.9431929480901078,0.060228452751817235,8.555555555555555,58,0,0,58,1.0,ecgca252.edf,Abdomen_2,abdominal,29.285714285714285,963,uV,1000.0,58,False
1021,963,58,0,1.0,0.9431929480901078,0.060228452751817235,9.766355140186915,58,0,0,58,1.0,ecgca252.edf,Abdomen_3,abdominal,29.285714285714285,963,uV,1000.0,58,False
1021,963,58,0,1.0,0.9431929480901078,0.060228452751817235,9.331256490134995,58,0,0,58,1.0,ecgca252.edf,Abdomen_4,abdominal,29.285714285714285,963,uV,1000.0,58,False
629,592,37,0,1.0,0.9411764705882353,0.0625,6.023648648648648,36,1,0,36,1.0,ecgca274.edf,Thorax_1,thoracic,23.857142857142858,592,mV,1000.0,36,False
629,592,37,0,1.0,0.9411764705882353,0.0625,7.5625,36,1,0,36,1.0,ecgca274.edf,Thorax_2,thoracic,23.857142857142858,592,mV,1000.0,36,False
630,592,38,0,1.0,0.9396825396825397,0.06418918918918919,9.18918918918919,36,2,0,36,1.0,ecgca274.edf,Abdomen_1,abdominal,23.857142857142858,592,uV,1000.0,36,False
630,592,38,0,1.0,0.9396825396825397,0.06418918918918919,9.24831081081081,36,2,0,36,1.0,ecgca274.edf,Abdomen_2,abdominal,23.857142857142858,592,uV,1000.0,36,False
630,592,38,0,1.0,0.9396825396825397,0.06418918918918919,7.6824324324324325,36,2,0,36,1.0,ecgca274.edf,Abdomen_3,abdominal,23.857142857142858,592,uV,1000.0,36,False
1865,1735,130,0,1.0,0.9302949061662198,0.07492795389048991,8.03227665706052,128,1,1,129,0.9922480620155039,ecgca290.edf,Thorax_1,thoracic,38.0,1735,mV,1000.0,128,False
1864,1735,129,0,1.0,0.930793991416309,0.07435158501440922,22.0985590778098,128,0,1,129,0.9922480620155039,ecgca290.edf,Thorax_2,thoracic,38.0,1735,mV,1000.0,128,False
1865,1735,130,0,1.0,0.9302949061662198,0.07492795389048991,9.24207492795389,128,1,1,129,0.9922480620155039,ecgca290.edf,Abdomen_1,abdominal,38.0,1735,uV,1000.0,128,False
1880,1732,148,3,0.9982708933717579,0.9212765957446809,0.08703170028818444,9.58256351039261,130,0,18,148,0.8783783783783784,ecgca290.edf,Abdomen_2,abdominal,38.0,1735,uV,1000.0,128,False
1865,1735,130,0,1.0,0.9302949061662198,0.07492795389048991,9.73256484149856,128,1,1,129,0.9922480620155039,ecgca290.edf,Abdomen_3,abdominal,38.0,1735,uV,1000.0,128,False
1866,1735,131,0,1.0,0.9297963558413719,0.07550432276657061,11.360806916426514,129,1,1,130,0.9923076923076923,ecgca290.edf,Abdomen_4,abdominal,38.0,1735,uV,1000.0,128,False
223,211,12,0,1.0,0.9461883408071748,0.05687203791469194,6.938388625592417,11,1,0,11,1.0,ecgca300.edf,Thorax_1,thoracic,23.857142857142858,211,mV,1000.0,11,False
223,211,12,0,1.0,0.9461883408071748,0.05687203791469194,7.682464454976303,11,1,0,11,1.0,ecgca300.edf,Thorax_2,thoracic,23.857142857142858,211,mV,1000.0,11,False
223,211,12,0,1.0,0.9461883408071748,0.05687203791469194,9.563981042654028,11,1,0,11,1.0,ecgca300.edf,Abdomen_1,abdominal,23.857142857142858,211,uV,1000.0,11,False
223,211,12,0,1.0,0.9461883408071748,0.05687203791469194,9.530805687203792,11,1,0,11,1.0,ecgca300.edf,Abdomen_2,abdominal,23.857142857142858,211,uV,1000.0,11,False
224,211,13,0,1.0,0.9419642857142857,0.061611374407582936,8.796208530805687,11,1,1,12,0.9166666666666666,ecgca300.edf,Abdomen_3,abdominal,23.857142857142858,211,uV,1000.0,11,False
1074,987,87,0,1.0,0.9189944134078212,0.08814589665653495,9.356636271529888,86,1,0,86,1.0,ecgca308.edf,Thorax_1,thoracic,30.714285714285715,987,mV,1000.0,86,False
1074,987,87,0,1.0,0.9189944134078212,0.08814589665653495,28.069908814589667,86,1,0,86,1.0,ecgca308.edf,Thorax_2,thoracic,30.714285714285715,987,mV,1000.0,86,False
