sample,sample_exact,ms,adc,plateau_width,source,keep
62,62.0,262,4095,3,auto,1
281,281.0,1138,4095,3,auto,1
535,535.0,2154,4095,3,auto,1
797,797.5,3202,4095,2,auto,1
1031,1031.0,4138,4095,3,auto,1
1274,1274.0,5110,4095,3,auto,1
1470,1470.5,5894,4095,2,auto,1
1686,1686.0,6758,4095,3,auto,1
1911,1911.0,7658,4095,3,auto,1
2104,2104.5,8430,4095,2,auto,1
2291,2291.5,9178,4095,2,auto,1
2528,2528.0,10126,4095,3,auto,1
2787,2787.0,11162,4095,3,auto,1
3010,3010.5,12054,4095,2,auto,1
3256,3256.0,13038,4095,3,auto,1
3509,3509.0,14050,4095,3,auto,1
3738,3738.5,14966,4095,2,auto,1
3985,3985.0,15954,4095,3,auto,1
4232,4232.5,16942,4095,2,auto,1
4468,4468.0,17886,4095,3,auto,1
4731,4731.0,18938,4095,3,auto,1
4975,4975.5,19914,4095,2,auto,1
5233,5233.0,20946,4095,3,auto,1
5487,5487.0,21962,4095,3,auto,1
5737,5737.0,22962,4095,3,auto,1
5998,5998.0,24006,4095,3,auto,1
6245,6245.0,24994,4095,3,auto,1
6516,6516.0,26078,4095,3,auto,1
6769,6769.5,27090,4095,2,auto,1
7035,7035.0,28154,4095,3,auto,1
7297,7297.5,29202,4095,2,auto,1
