t_s,uc
0.126000,1509.5200
0.376000,1508.4480
0.626000,1508.6400
0.876000,1508.5600
1.126000,1508.8880
1.376000,1508.9280
1.626000,1508.7280
1.876000,1508.4640
2.126000,1508.3760
2.376000,1508.4960
2.626000,1509.6000
2.876000,1509.9200
3.126000,1509.2080
3.376000,1508.6240
3.626000,1511.0880
3.876000,1508.7120
4.126000,1508.5200
4.376000,1508.8480
4.626000,1508.9200
4.876000,1508.3600
5.126000,1508.1200
5.376000,1508.2480
5.626000,1508.0960
5.876000,1508.4160
6.126000,1508.7840
6.376000,1507.5120
6.626001,1508.3360
6.876000,1508.5040
7.126000,1508.0960
7.376000,1508.9440
7.626000,1508.1920
7.876000,1508.3680
8.126001,1507.7920
8.376000,1508.6320
8.626000,1509.0400
8.876000,1509.3680
9.126000,1508.4480
9.376000,1509.3520
9.626000,1508.9440
9.876000,1508.1920
10.126000,1508.3360
10.376000,1509.1680
10.626000,1508.8960
10.876000,1508.3440
11.126000,1508.9840
11.376000,1509.1040
11.626000,1508.2800
11.876000,1508.5600
12.126000,1508.2560
12.376000,1508.1920
12.626000,1507.3520
12.876000,1509.2960
13.126000,1508.4400
13.376000,1507.4320
13.626000,1508.1840
13.876000,1508.0240
14.126000,1508.6560
14.376000,1507.5440
14.626000,1508.6320
14.876000,1508.1200
15.126000,1508.7360
15.376000,1507.9760
15.626000,1507.9760
15.876000,1508.5280
16.126000,1507.8960
16.376000,1508.8640
16.626000,1508.3840
16.876000,1508.4640
17.126000,1507.4480
17.376000,1508.3840
17.626000,1508.0000
17.876000,1508.2800
18.126000,1508.8720
18.376000,1509.0720
18.626000,1508.6160
18.876000,1509.6160
19.126000,1507.6960
19.376000,1507.9520
19.626000,1507.9280
19.876000,1508.0480
20.126000,1508.2000
20.376000,1507.9760
20.626000,1508.1520
20.876000,1509.3760
21.126000,1507.8080
21.376000,1508.3280
21.626000,1508.2960
21.876000,1507.7120
22.126000,1508.3360
22.376000,1508.2160
22.626000,1507.0240
22.876000,1507.6640
23.126000,1507.6320
23.376000,1508.1120
23.626000,1508.1040
23.876000,1507.5760
24.126000,1507.4960
24.376000,1507.6640
24.626000,1507.6160
24.876000,1507.0640
25.126000,1507.6080
25.376000,1506.8240
25.626000,1507.7040
25.876000,1507.9280
26.126000,1507.6080
26.376000,1508.0160
26.626000,1508.3520
26.876000,1508.6080
27.126000,1508.4480
27.376000,1508.0240
27.626000,1507.7040
27.876000,1507.5520
28.126000,1507.1680
28.376000,1507.5280
28.626000,1508.1520
28.876000,1507.1360
29.126000,1507.6720
29.376000,1507.9840
29.626000,1508.4320
29.876000,1508.0640
30.126000,1507.2240
30.376000,1507.1440
30.626000,1508.5760
30.876000,1507.6800
31.126000,1509.1280
31.376000,1507.8160
31.626000,1506.6720
31.876000,1508.6800
32.126000,1506.7920
32.376000,1507.9040
32.626000,1507.7840
32.876000,1508.9920
33.126000,1508.0080
33.376000,1507.7600
33.626000,1507.3280
33.876000,1507.7600
34.126000,1506.8560
34.376000,1507.6320
34.626000,1507.5200
34.876000,1507.3680
35.126000,1508.0160
35.376000,1507.7600
35.626000,1507.4800
35.876000,1508.2640
36.126000,1508.3520
36.376000,1507.4560
36.626000,1508.5360
36.876000,1507.9280
37.126000,1507.4800
37.376000,1508.0480
37.626000,1507.5680
37.876000,1507.8960
38.126000,1507.9680
38.376000,1508.2480
38.626000,1507.6640
38.876000,1508.8240
39.126000,1509.2240
39.376000,1507.2960
39.626000,1507.7360
39.876000,1508.2160
40.126000,1507.5040
40.376000,1507.9040
40.626000,1507.5040
40.876000,1508.2000
41.126000,1507.3600
41.376000,1506.9440
41.626000,1509.7440
41.876000,1507.3760
42.126000,1507.0640
42.376000,1507.3120
42.626000,1507.5200
42.876000,1507.3600
43.126000,1507.1760
43.376000,1507.2080
43.626000,1507.3120
43.876000,1507.9840
44.126000,1508.0640
44.376000,1506.6960
44.626000,1506.8960
44.876000,1506.9440
45.126000,1506.9680
45.376000,1506.5280
45.626000,1507.0880
45.876000,1506.7040
46.126000,1507.4000
46.376001,1505.2080
46.626000,1506.8960
46.876000,1506.8480
47.126000,1507.3440
