# pcg_capture max4466 pin=39 fs=500 att=11db
# captured 20260905_134318 port=COM8 tag=chest_air_batt_p74
t_us,adc
2001,1905
4001,1909
6001,1914
8000,1911
10000,1915
12001,1907
14000,1914
16000,1916
18001,1911
20000,1915
22001,1914
24000,1915
26001,1914
28000,1913
30001,1913
32001,1911
34000,1911
36001,1915
38000,1916
40001,1918
42000,1917
44000,1913
46001,1916
48000,1913
50000,1914
52001,1914
54000,1915
56001,1915
58001,1914
60000,1917
62001,1916
64001,1915
66000,1913
68000,1914
70001,1913
72000,1913
74001,1915
76001,1913
78001,1915
80001,1915
82000,1914
84001,1915
86000,1913
88000,1917
90000,1911
92000,1914
94001,1914
96000,1916
98000,1915
100001,1911
102001,1915
104000,1913
106000,1916
108000,1911
110001,1915
112000,1914
114000,1913
116001,1913
118001,1915
120001,1913
122001,1913
124001,1915
126001,1914
128001,1915
130001,1914
132000,1911
134000,1914
136000,1911
138001,1913
140000,1911
142000,1914
144000,1915
146000,1911
148001,1917
150001,1917
152001,1916
154000,1917
156001,1917
158001,1913
160000,1911
162000,1915
164000,1915
166000,1914
168001,1916
170000,1917
172000,1915
174001,1916
176001,1914
178000,1913
180000,1915
182001,1913
184001,1915
186001,1916
188001,1915
190000,1917
192001,1913
194000,1914
196001,1915
198001,1915
200000,1910
202001,1913
204001,1913
206001,1914
208000,1913
210000,1917
212000,1910
214001,1913
216001,1914
218001,1911
220000,1914
222000,1911
224001,1914
226000,1913
228000,1917
230000,1918
232000,1914
234000,1914
236000,1913
238001,1911
240000,1915
242000,1915
244000,1910
246001,1915
248001,1914
250000,1914
252000,1915
254000,1913
256000,1912
258000,1911
260001,1911
262000,1913
264001,1913
266001,1915
268000,1919
270001,1917
272001,1917
274000,1914
276000,1915
278001,1914
280000,1911
282000,1911
284001,1911
286000,1914
288001,1914
290000,1918
292001,1916
294000,1914
296000,1913
298001,1909
300001,1918
302000,1942
304001,1909
306000,1915
308000,1910
310001,1912
312000,1916
314000,1915
316001,1915
318001,1915
320000,1920
322000,1911
324000,1910
326001,1911
328000,1916
330001,1913
332001,1909
334000,1915
336001,1914
338001,1917
340000,1915
342000,1914
344001,1917
346000,1910
348000,1913
350001,1910
352001,1910
354001,1913
356001,1917
358000,1913
360000,1914
362001,1915
364001,1914
366001,1911
368000,1913
370001,1911
372001,1913
374000,1916
376000,1911
378000,1917
380001,1917
382001,1917
384001,1915
386001,1910
388001,1917
390001,1915
392001,1915
394001,1915
396000,1913
398000,1917
400001,1915
402001,1915
404001,1915
406000,1914
408001,1911
