t_start_s,t_end_s,phase
0.000,60.000,REST
60.000,80.000,RAMP 1
80.000,105.000,HOLD 1
105.000,125.000,FALL 1
125.000,225.000,REST 1
225.000,245.000,RAMP 2
245.000,270.000,HOLD 2
270.000,290.000,FALL 2
290.000,390.000,REST 2
390.000,410.000,RAMP 3
410.000,435.000,HOLD 3
435.000,455.000,FALL 3
455.000,555.000,REST 3
555.000,575.000,RAMP 4
575.000,600.000,HOLD 4
600.000,620.000,FALL 4
620.000,720.000,REST 4
720.000,740.000,RAMP 5
740.000,765.000,HOLD 5
765.000,785.000,FALL 5
785.000,885.000,REST 5
885.000,905.000,RAMP 6
905.000,930.000,HOLD 6
930.000,950.000,FALL 6
950.000,1050.000,REST 6
1050.000,1070.000,RAMP 7
1070.000,1095.000,HOLD 7
1095.000,1115.000,FALL 7
1115.000,1215.000,REST 7
