t_s,uc
0.1250,1532.1280
0.3750,1531.4960
0.6250,1531.6640
0.8750,1531.2480
1.1250,1531.4800
1.3750,1531.7360
1.6250,1531.9280
1.8750,1531.0960
2.1250,1531.3040
2.3750,1531.1840
2.6250,1531.3600
2.8750,1531.4560
3.1250,1531.7760
3.3750,1531.9360
3.6250,1531.2320
3.8750,1531.4240
4.1250,1532.2160
4.3750,1530.3440
4.6250,1531.4800
4.8750,1531.2880
5.1250,1532.1440
5.3750,1531.7200
5.6250,1531.4720
5.8750,1531.4480
6.1250,1532.4960
6.3750,1531.7360
6.6250,1531.2720
6.8750,1531.7760
7.1250,1531.3040
7.3750,1532.2080
7.6250,1531.7520
7.8750,1531.2000
8.1250,1531.0720
8.3750,1531.8880
8.6250,1532.1680
8.8750,1531.8720
9.1250,1531.6240
9.3750,1531.2960
9.6250,1530.9120
9.8750,1530.7280
10.1250,1530.9840
10.3750,1531.4720
10.6250,1531.4560
10.8750,1531.4320
11.1250,1531.1360
11.3750,1531.2240
11.6250,1531.0480
11.8750,1530.8000
12.1250,1531.3760
12.3750,1531.8240
12.6250,1531.9840
12.8750,1531.0320
13.1250,1532.2560
13.3750,1531.4320
13.6250,1532.0320
13.8750,1531.5520
14.1250,1530.5920
14.3750,1531.3280
14.6250,1531.2320
14.8750,1531.3120
15.1250,1531.7280
15.3750,1531.5680
15.6250,1530.9920
15.8750,1531.2160
16.1250,1531.6480
16.3750,1531.4880
16.6250,1531.0240
16.8750,1531.2080
17.1250,1531.8000
17.3750,1531.6960
17.6250,1531.3920
17.8750,1531.3120
18.1250,1531.3520
18.3750,1531.4400
18.6250,1532.1040
18.8750,1531.1440
19.1250,1531.4000
19.3750,1531.4800
19.6250,1531.3520
19.8750,1531.9200
20.1250,1532.0000
20.3750,1531.8800
20.6250,1531.6160
20.8750,1531.4640
21.1250,1531.3360
21.3750,1532.1120
21.6250,1531.8960
21.8750,1531.4560
22.1250,1530.5520
22.3750,1531.2080
22.6250,1531.7280
22.8750,1531.4320
23.1250,1531.5680
23.3750,1531.4000
23.6250,1531.9280
23.8750,1531.3680
24.1250,1531.3920
24.3750,1532.2800
24.6250,1531.0640
24.8750,1531.0480
25.1250,1531.6640
25.3750,1531.8480
25.6250,1531.6800
25.8750,1531.5920
26.1250,1531.4560
26.3750,1532.0240
26.6250,1532.0640
26.8750,1531.6480
27.1250,1532.0320
27.3750,1531.9920
27.6250,1532.5760
27.8750,1532.2400
28.1250,1532.4480
28.3750,1532.4240
28.6250,1532.1840
28.8750,1532.7120
29.1250,1531.7120
29.3750,1532.9440
29.6250,1532.1440
29.8750,1532.1840
30.1250,1532.2640
30.3750,1532.3680
30.6250,1531.9440
30.8750,1532.1360
31.1250,1532.7120
31.3750,1532.3600
31.6250,1531.0080
31.8750,1532.0400
32.1250,1532.2400
32.3750,1531.6720
32.6250,1532.4800
32.8750,1532.1200
33.1250,1531.9680
33.3750,1531.8800
33.6250,1531.8400
33.8750,1531.9920
34.1250,1532.0160
34.3750,1532.2160
34.6250,1531.7760
34.8750,1532.0320
35.1250,1531.9920
35.3750,1531.8880
35.6250,1531.9680
35.8750,1531.8640
36.1250,1532.0080
36.3750,1532.4880
36.6250,1531.7360
36.8750,1531.8400
37.1250,1531.9840
37.3750,1532.1200
37.6250,1531.6800
37.8750,1531.7040
38.1250,1531.6960
38.3750,1532.1920
38.6250,1532.5280
38.8750,1531.8000
39.1250,1531.7360
39.3750,1531.3120
39.6250,1532.1360
39.8750,1532.1200
40.1250,1531.7760
40.3750,1531.8000
40.6250,1531.9920
40.8750,1532.1040
41.1250,1532.1840
41.3750,1531.6800
41.6250,1532.2080
41.8750,1531.9600
42.1250,1531.8880
42.3750,1531.4800
42.6250,1532.1200
42.8750,1532.1920
43.1250,1531.7760
43.3750,1531.9680
43.6250,1532.0880
43.8750,1531.2960
44.1250,1531.5760
44.3750,1531.8960
44.6250,1531.5440
44.8750,1531.6880
45.1250,1531.4240
45.3750,1531.5200
45.6250,1531.7440
45.8750,1531.8240
46.1250,1531.2800
46.3750,1531.6320
46.6250,1531.5040
46.8750,1531.3680
47.1250,1531.6240
47.3750,1531.4240
47.6250,1532.0240
47.8750,1531.8320
48.1250,1531.5200
48.3750,1531.3920
48.6250,1531.5440
48.8750,1530.5680
49.1250,1531.6960
49.3750,1531.2080
49.6250,1531.5200
