t_us,adc
51822000,0
51824001,0
51826000,0
51828000,0
51830001,0
51832000,0
51834000,0
51836000,0
51838000,0
51840001,0
51842000,0
51844001,0
51846001,0
51848000,0
51850001,0
51852000,0
51854000,0
51856000,0
51858000,0
51860000,0
51862001,0
51864000,0
51866000,0
51868000,0
51870000,0
51872000,0
51874000,0
51876001,0
51878000,0
51880001,0
51882001,0
51884001,0
51886001,0
51888000,0
51890000,0
51892000,0
51894000,0
51896001,0
51898000,0
51900001,0
51902000,0
51904001,0
51906000,0
51908001,0
51910000,0
51912001,0
51914000,0
51916000,0
51918001,0
51920000,0
51922000,0
51924000,0
51926000,0
51928001,0
51930000,0
51932000,0
51934001,0
51936001,0
51938000,0
51940000,0
51942000,0
51944001,0
51946000,0
51948000,0
51950000,0
51952000,0
51954000,0
51956000,0
51958000,0
51960001,0
51962000,0
51964001,0
51966000,0
51968000,0
51970000,0
51972001,0
51974000,0
51976001,0
51978000,0
51980000,0
51982001,0
51984000,0
51986000,0
51988000,0
51990000,0
51992001,0
51994000,0
51996001,0
51998000,0
52000000,0
52002001,0
52004001,0
52006000,0
52008001,0
52010000,0
52012000,0
52014001,0
52016000,0
52018000,0
52020001,0
52022000,0
52024000,0
52026000,0
52028000,0
52030001,0
52032000,0
52034001,0
52036001,0
52038001,0
52040001,0
52042001,0
52044000,0
52046001,0
52048000,0
52050001,0
52052001,0
52054001,0
52056000,0
52058000,0
52060001,0
52062000,0
52064001,0
52066000,0
52068000,0
52070001,0
52072000,0
52074001,0
52076000,0
52078001,0
52080001,0
52082000,0
52084001,0
52086000,0
52088001,0
52090000,0
52092001,0
52094000,0
52096001,0
52098000,0
52100001,0
52102000,0
52104000,0
52106000,0
52108000,0
52110000,0
52112001,0
52114000,0
52116000,0
52118001,0
52120000,0
52122000,0
52124001,0
52126001,0
52128000,0
52130000,0
52132000,0
52134001,0
52136000,0
52138000,0
52140000,0
52142000,0
52144000,0
52146001,0
52148000,0
52150000,0
52152000,0
52154001,0
52156000,0
52158001,0
52160001,0
52162001,0
52164000,0
52166000,0
52168001,0
52170000,0
52172001,0
52174001,0
52176000,0
52178000,0
52180000,0
52182000,0
52184001,0
52186000,0
52188001,0
52190000,0
52192000,0
52194000,0
52196000,0
52198000,0
52200001,0
52202001,0
52204000,0
52206001,0
52208000,0
52210000,0
52212000,0
52214001,0
52216000,0
52218000,0
52220000,0
52222000,0
52224000,0
52226000,0
52228000,0
52230001,0
52232000,0
52234000,0
52236001,0
52238000,0
52240001,0
52242001,0
52244000,0
52246000,0
52248000,0
52250000,0
52252001,0
52254000,0
52256000,0
52258001,0
52260000,0
52262000,0
52264000,0
52266000,0
52268000,0
52270000,0
52272000,0
52274000,0
52276000,0
52278001,0
52280000,0
52282000,0
52284001,0
52286000,0
52288000,0
52290001,0
52292000,0
52294000,0
52296001,0
52298000,0
52300001,0
52302000,0
52304001,0
52306000,0
52308000,0
52310000,0
52312000,0
52314000,0
52316000,0
52318001,0
52320000,0
52322000,0
52324000,0
52326000,0
52328000,0
52330001,0
52332000,0
52334001,0
52336001,0
52338001,0
52340000,0
52342000,0
52344001,0
52346000,0
52348000,0
52350000,0
52352001,0
52354000,0
52356000,0
52358001,0
52360000,0
52362000,0
52364000,0
52366001,0
52368000,0
52370000,0
52372001,0
52374000,0
52376001,0
52378000,0
52380000,0
52382001,0
52384000,0
52386000,0
52388001,0
52390001,0
52392000,0
52394000,0
52396000,0
52398001,0
52400000,0
52402000,0
52404000,0
52406001,0
52408000,0
52410001,0
52412000,0
52414001,0
52416001,0
52418000,0
52420000,0
52422000,0
52424000,0
52426001,0
52428000,0
52430000,0
52432000,0
52434000,0
52436000,0
52438001,0
52440000,0
52442000,0
52444001,0
52446001,0
52448000,0
52450001,0
52452000,0
52454000,0
52456000,0
52458001,0
52460001,0
52462000,0
52464001,0
52466000,0
52468000,0
52470000,0
52472000,0
52474000,0
52476000,0
52478000,0
52480000,0
52482000,0
52484000,0
52486000,0
52488000,0
52490000,0
52492000,0
52494001,0
52496001,0
52498000,0
52500000,0
52502000,0
52504000,0
52506000,0
52508001,0
52510000,0
52512000,0
52514000,0
52516001,0
52518000,0
52520000,0
52522000,0
52524001,0
52526000,0
52528001,0
52530000,0
52532001,0
52534000,0
52536000,0
52538000,0
52540000,0
52542001,0
52544000,0
52546000,0
52548000,0
52550000,0
52552000,0
52554001,0
52556000,0
52558001,0
52560001,0
52562000,0
52564000,0
52566000,0
52568000,0
52570001,0
52572000,0
52574001,0
52576000,0
52578000,0
52580000,0
52582000,0
52584000,0
52586000,0
52588000,0
52590000,0
52592001,0
52594000,0
52596001,0
52598000,0
52600000,0
52602001,0
52604000,0
52606001,0
52608000,0
52610001,0
52612000,0
52614000,0
52616000,0
52618000,0
52620000,0
52622001,0
52624000,0
52626000,0
52628000,0
52630000,0
52632000,0
52634000,0
52636000,0
52638000,0
52640000,0
52642000,0
52644001,0
52646001,0
52648000,0
52650000,0
52652001,0
52654000,0
52656000,0
52658000,0
52660001,0
52662000,0
52664000,0
52666001,0
52668000,0
52670001,0
52672000,0
52674000,0
52676000,0
52678000,0
52680000,0
52682000,0
52684000,0
52686001,0
52688001,0
52690000,0
52692000,0
52694001,0
52696000,0
52698000,0
52700000,0
52702000,0
52704000,0
52706000,0
52708000,0
52710000,0
52712000,0
52714000,0
52716000,0
52718000,0
52720001,0
52722001,0
52724000,0
52726001,0
52728000,0
52730000,0
52732000,0
52734000,0
52736000,0
52738000,0
52740001,0
52742001,0
52744001,0
52746001,0
52748001,0
52750000,0
52752001,0
52754000,0
52756000,0
52758001,0
52760000,0
52762001,0
52764000,0
52766001,0
52768000,0
52770001,0
52772000,0
52774001,0
52776000,0
52778000,0
52780000,0
52782001,0
52784000,0
52786000,0
52788000,0
52790000,0
52792001,0
52794000,0
52796001,0
52798001,0
52800000,0
52802000,0
52804000,0
52806000,0
52808001,0
52810000,0
52812001,0
52814000,0
52816001,0
52818000,0
52820000,0
52822001,0
52824000,0
52826000,0
52828001,0
52830000,0
52832001,0
52834000,0
52836000,0
52838000,0
52840001,0
52842000,0
52844000,0
52846000,0
52848000,0
52850001,0
52852000,0
52854000,0
52856000,0
52858000,0
52860000,0
52862000,0
52864001,0
52866000,0
52868000,0
52870000,0
52872000,0
52874000,0
52876000,0
52878001,0
52880001,0
52882001,0
52884000,0
52886001,0
52888000,0
52890001,0
52892000,0
52894000,0
52896001,0
52898001,0
52900001,0
52902000,0
52904001,0
52906001,0
52908000,0
52910000,0
52912001,0
52914000,0
52916000,0
52918000,0
52920001,0
52922000,0
52924000,0
52926001,0
52928001,0
52930000,0
52932000,0
52934001,0
52936001,0
52938001,0
52940000,0
52942000,0
52944001,0
52946000,0
52948000,0
52950000,0
52952000,0
52954001,0
52956000,0
52958000,0
52960000,0
52962000,0
52964001,0
52966000,0
52968001,0
52970001,0
52972001,0
52974000,0
52976000,0
52978000,0
52980000,0
52982001,0
52984001,0
52986001,0
52988000,0
52990001,0
52992000,0
52994000,0
52996001,0
52998000,0
53000000,0
53002001,0
53004001,0
53006000,0
53008000,0
53010000,0
53012000,0
53014001,0
53016001,0
53018000,0
53020000,0
53022000,0
53024000,0
53026000,0
53028000,0
53030000,0
53032000,0
53034000,0
53036000,0
53038000,0
53040001,0
53042000,0
53044000,0
53046001,0
53048000,0
53050000,0
53052001,0
53054001,0
53056000,0
53058000,0
53060001,0
53062000,0
53064000,0
53066001,0
53068000,0
53070000,0
53072001,0
53074001,0
53076001,0
53078001,0
53080001,0
53082000,0
53084000,0
53086001,0
53088001,0
53090000,0
53092000,0
53094000,0
53096000,0
53098000,0
53100000,0
53102000,0
53104001,0
53106000,0
53108000,0
53110000,0
53112001,0
53114000,0
53116000,0
53118000,0
53120001,0
53122000,0
53124001,0
53126000,0
53128001,0
53130000,0
53132000,0
53134001,0
53136001,0
53138000,0
53140001,0
53142000,0
53144000,0
53146000,0
53148000,0
53150000,0
53152001,0
53154000,0
53156001,0
53158001,0
53160000,0
53162001,0
53164000,0
53166000,0
53168000,0
53170001,0
53172000,0
53174001,0
53176001,0
53178000,0
53180000,0
53182001,0
53184000,0
53186000,0
53188000,0
53190000,0
53192000,0
53194000,0
53196000,0
53198001,0
53200000,0
53202000,0
53204001,0
53206000,0
53208000,0
53210000,0
53212000,0
53214001,0
53216000,0
53218000,0
53220001,0
53222000,0
53224000,0
53226000,0
53228000,0
53230000,0
53232000,0
53234000,0
53236001,0
53238000,0
53240000,0
53242000,0
53244001,0
53246000,0
53248000,0
53250001,0
53252000,0
53254000,0
53256001,0
53258001,0
53260000,0
53262001,0
53264001,0
53266000,0
53268000,0
53270000,0
53272001,0
53274000,0
53276000,0
53278001,0
53280000,0
53282001,0
53284000,0
53286000,0
53288001,0
53290000,0
53292000,0
53294000,0
53296000,0
53298000,0
53300000,0
53302000,0
53304001,0
53306001,0
53308000,0
53310000,0
53312001,0
53314000,0
53316000,0
53318000,0
53320001,0
53322001,0
53324001,0
53326001,0
53328000,0
53330001,0
53332000,0
53334001,0
53336000,0
53338001,0
53340000,0
53342001,0
53344001,0
53346001,0
53348001,0
53350000,0
53352001,0
53354000,0
53356001,0
53358001,0
53360000,0
53362001,0
53364000,0
53366000,0
53368000,0
53370001,0
53372001,0
53374001,0
53376000,0
53378000,0
53380000,0
53382000,0
53384000,0
53386000,0
53388000,0
53390001,0
53392000,0
53394000,0
53396000,0
53398000,0
53400000,0
53402000,0
53404000,0
53406001,0
53408000,0
53410000,0
53412000,0
53414000,0
53416001,0
53418000,0
53420000,0
53422000,0
53424001,0
53426001,0
53428001,0
53430000,0
53432000,0
53434001,0
53436001,0
53438000,0
53440000,0
53442001,0
53444001,0
53446000,0
53448001,0
53450000,0
53452001,0
53454000,0
53456000,0
53458001,0
53460000,0
53462000,0
53464001,0
53466000,0
53468000,0
53470001,0
53472000,0
53474000,0
53476000,0
53478001,0
53480000,0
53482001,0
53484000,0
53486000,0
53488000,0
53490001,0
53492000,0
53494000,0
53496001,0
53498000,0
53500000,0
53502000,0
53504001,0
53506001,0
53508000,0
53510000,0
53512001,0
53514000,0
53516000,0
53518000,0
53520000,0
53522000,0
53524000,0
53526001,0
53528000,0
53530000,0
53532000,0
53534000,0
53536001,0
53538000,0
53540000,0
53542001,0
53544000,0
53546000,0
53548000,0
53550000,0
53552001,0
53554000,0
53556000,0
53558001,0
53560000,0
53562000,0
53564001,0
53566000,0
53568000,0
53570000,0
53572000,0
53574001,0
53576000,0
53578001,0
53580000,0
53582000,0
53584000,0
53586000,0
53588001,0
53590000,0
53592000,0
53594001,0
53596000,0
53598000,0
53600000,0
53602001,0
53604000,0
53606001,0
53608001,0
53610000,0
53612000,0
53614000,0
53616001,0
53618001,0
53620000,0
53622000,0
53624000,0
53626000,0
53628000,0
53630001,0
53632000,0
53634001,0
53636000,0
53638000,0
53640000,0
53642000,0
53644000,0
53646000,0
53648001,0
53650000,0
53652000,0
53654000,0
53656000,0
53658000,0
53660001,0
53662001,0
53664001,0
53666000,0
53668000,0
53670000,0
53672000,0
53674000,0
53676000,0
53678000,0
53680000,0
53682000,0
53684000,0
53686000,0
53688001,0
53690000,0
53692000,0
53694000,0
53696000,0
53698001,0
53700000,0
53702000,0
53704000,0
53706000,0
53708001,0
53710000,0
