t_us,adc
276496000,0
276498000,0
276500000,0
276502000,0
276504000,0
276506000,0
276508000,0
276510000,0
276512000,0
276514000,0
276516000,0
276518001,0
276520001,0
276522001,0
276524001,0
276526001,0
276528000,0
276530000,0
276532000,0
276534000,0
276536001,0
276538001,0
276540000,0
276542000,0
276544001,0
276546001,0
276548001,0
276550001,0
276552001,0
276554001,0
276556001,0
276558000,0
276560000,0
276562000,0
276564000,0
276566000,0
276568000,0
276570000,0
276572000,0
276574000,0
276576000,0
276578000,0
276580000,0
276582000,0
276584000,0
276586000,0
276588000,0
276590000,0
276592000,0
276594000,0
276596001,0
276598001,0
276600000,0
276602001,0
276604001,0
276606000,0
276608001,0
276610001,0
276612001,0
276614000,0
276616001,0
276618000,0
276620000,0
276622000,0
276624000,0
276626000,0
276628000,0
276630000,0
276632000,0
276634000,0
276636001,0
276638000,0
276640000,0
276642000,0
276644000,0
276646001,0
276648001,0
276650001,0
276652001,0
276654000,0
276656000,0
276658000,0
276660000,0
276662000,0
276664000,0
276666000,0
276668000,0
276670000,0
276672000,0
276674000,0
276676000,0
276678000,0
276680000,0
276682000,0
276684000,0
276686001,0
276688000,0
276690000,0
276692001,0
276694001,0
276696000,0
276698000,0
276700000,0
276702000,0
276704001,0
276706001,0
276708000,0
276710000,0
276712000,0
276714001,0
276716000,0
276718000,0
276720000,0
276722000,0
276724000,0
276726001,0
276728000,0
276730000,0
276732000,0
276734000,0
276736000,0
276738000,0
276740000,0
276742001,0
276744001,0
276746001,0
276748000,0
276750000,0
276752000,0
276754000,0
276756000,0
276758000,0
276760000,0
276762000,0
276764000,0
276766000,0
276768000,0
276770000,0
276772000,0
276774000,0
276776000,0
276778000,0
276780000,0
276782001,0
276784000,0
276786001,0
276788001,0
276790000,0
276792000,0
276794000,0
276796001,0
276798001,0
276800001,0
276802001,0
276804001,0
276806000,0
276808000,0
276810000,0
276812001,0
276814001,0
276816000,0
276818000,0
276820000,0
276822000,0
276824000,0
276826000,0
276828000,0
276830000,0
276832000,0
276834000,0
276836000,0
276838000,0
276840000,0
276842000,0
276844000,0
276846000,0
276848000,0
276850000,0
276852000,0
276854000,0
276856001,0
276858001,0
276860000,0
276862000,0
276864000,0
276866000,0
276868000,0
276870000,0
276872000,0
276874000,0
276876000,0
276878000,0
276880000,0
276882000,0
276884001,0
276886000,0
276888000,0
276890000,0
276892000,0
276894000,0
276896000,0
276898000,0
276900000,0
276902000,0
276904001,0
276906001,0
276908000,0
276910001,0
276912001,0
276914001,0
276916001,0
276918000,0
276920000,0
276922001,0
276924000,0
276926001,0
276928001,0
276930001,0
276932001,0
276934000,0
276936000,0
276938000,0
276940000,0
276942000,0
276944000,0
276946000,0
276948000,0
276950000,0
276952000,0
276954000,0
276956000,0
276958000,0
276960000,0
276962000,0
276964000,0
276966001,0
276968001,0
276970001,0
276972000,0
276974000,0
276976000,0
276978000,0
276980000,0
276982001,0
276984001,0
276986001,0
276988000,0
276990000,0
276992001,0
276994000,0
276996001,0
276998001,0
277000001,0
277002000,0
277004000,0
277006000,0
277008000,0
277010000,0
277012000,0
277014000,0
277016001,0
277018000,0
277020001,0
277022001,0
277024000,0
277026001,0
277028001,0
277030001,0
277032000,0
277034001,0
277036000,0
277038000,0
277040001,0
277042001,0
277044000,0
277046000,0
277048000,0
277050000,0
277052001,0
277054000,0
277056001,0
277058000,0
277060000,0
277062000,0
277064001,0
277066000,0
277068000,0
277070001,0
277072001,0
277074001,0
277076000,0
277078000,0
277080000,0
277082000,0
277084001,0
277086001,0
277088001,0
277090001,0
277092000,0
277094000,0
277096000,0
277098001,0
277100000,0
277102001,0
277104000,0
277106000,0
277108000,0
277110000,0
277112000,0
277114000,0
277116000,0
277118000,0
277120000,0
277122000,0
277124000,0
277126001,0
277128000,0
277130000,0
277132000,0
277134000,0
277136001,0
277138000,0
277140000,0
277142001,0
277144001,0
277146001,0
277148001,0
277150000,0
277152001,0
277154001,0
277156001,0
277158001,0
277160001,0
277162001,0
277164000,0
277166000,0
277168000,0
277170000,0
277172000,0
277174001,0
277176001,0
277178001,0
277180001,0
277182001,0
277184000,0
277186001,0
277188000,0
277190001,0
277192001,0
277194000,0
277196001,0
277198001,0
277200001,0
277202001,0
277204000,0
277206001,0
277208000,0
277210000,0
277212000,0
277214001,0
277216001,0
277218001,0
277220000,0
277222001,0
277224001,0
277226000,0
277228000,0
277230000,0
277232000,0
277234001,0
277236001,0
277238000,0
277240000,0
277242000,0
277244000,0
277246000,0
277248000,0
277250000,0
277252000,0
277254000,0
277256000,0
277258000,0
277260000,0
277262000,0
277264000,0
277266000,0
277268000,0
277270000,0
277272000,0
277274000,0
277276000,0
277278000,0
277280000,0
277282000,0
277284000,0
277286000,0
277288000,0
277290001,0
277292001,0
277294001,0
277296001,0
277298001,0
277300000,0
277302000,0
277304000,0
277306000,0
277308000,0
277310000,0
277312000,0
277314000,0
277316000,0
277318000,0
277320000,0
277322000,0
277324000,0
277326000,0
277328000,0
277330000,0
277332000,0
277334000,0
277336000,0
277338000,0
277340000,0
277342000,0
277344001,0
277346001,0
277348001,0
277350001,0
277352000,0
277354000,0
277356001,0
277358001,0
277360001,0
277362001,0
277364001,0
277366000,0
277368000,0
277370001,0
277372000,0
277374000,0
277376000,0
277378000,0
277380000,0
277382000,0
277384000,0
277386000,0
277388000,0
277390000,0
277392000,0
277394000,0
277396000,0
277398000,0
277400000,0
277402000,0
277404000,0
277406000,0
277408000,0
277410000,0
277412001,0
277414000,0
277416001,0
277418001,0
277420000,0
277422000,0
277424000,0
277426000,0
277428000,0
277430000,0
277432000,0
277434000,0
277436001,0
277438000,0
277440000,0
277442000,0
277444000,0
277446000,0
277448000,0
277450001,0
277452001,0
277454001,0
277456001,0
277458000,0
277460001,0
277462001,0
277464000,0
277466001,0
277468001,0
277470001,0
277472000,0
277474000,0
277476001,0
277478001,0
277480001,0
277482001,0
277484000,0
277486000,0
277488000,0
277490000,0
277492001,0
277494001,0
277496001,0
277498000,0
277500000,0
277502001,0
277504000,0
277506000,0
277508000,0
277510001,0
277512001,0
277514001,0
277516001,0
277518001,0
277520001,0
277522000,0
277524000,0
277526000,0
277528000,0
277530000,0
277532000,0
277534000,0
277536000,0
277538000,0
277540000,0
277542000,0
277544000,0
277546001,0
277548001,0
277550000,0
277552001,0
277554000,0
277556000,0
277558000,0
277560000,0
277562000,0
277564000,0
277566001,0
277568001,0
277570001,0
277572001,0
277574000,0
277576000,0
277578000,0
277580000,0
277582000,0
277584000,0
277586000,0
277588000,0
277590000,0
277592000,0
277594000,0
277596000,0
277598000,0
277600000,0
277602000,0
277604000,0
277606000,0
277608000,0
277610000,0
277612000,0
277614000,0
277616000,0
277618000,0
277620000,0
277622000,0
277624000,0
277626001,0
277628001,0
277630000,0
277632000,0
277634000,0
277636001,0
277638001,0
277640001,0
277642000,0
277644000,0
277646000,0
277648000,0
277650000,0
277652000,0
277654000,0
277656000,0
277658000,0
277660001,0
277662001,0
277664001,0
277666000,0
277668000,0
277670000,0
277672000,0
277674000,0
277676000,0
277678000,0
277680000,0
277682000,0
277684001,0
277686000,0
277688000,0
277690000,0
277692000,0
277694000,0
277696000,0
277698000,0
277700000,0
277702000,0
277704000,0
277706000,0
277708000,0
277710000,0
277712000,0
277714001,0
277716001,0
277718000,0
277720001,0
277722000,0
277724000,0
277726000,0
277728000,0
277730000,0
277732000,0
277734000,0
277736000,0
277738000,0
277740000,0
277742000,0
277744000,0
277746000,0
277748000,0
277750000,0
277752000,0
277754000,0
277756000,0
277758000,0
277760000,0
277762001,0
277764000,0
277766000,0
277768000,0
277770000,0
277772000,0
277774001,0
277776001,0
277778001,0
277780001,0
277782001,0
277784000,0
277786000,0
277788000,0
277790000,0
277792000,0
277794001,0
277796000,0
277798001,0
277800000,0
277802000,0
277804000,0
277806000,0
277808000,0
277810000,0
277812001,0
277814001,0
277816001,0
277818001,0
277820000,0
277822000,0
277824000,0
277826000,0
277828000,0
277830000,0
277832000,0
277834000,0
277836000,0
277838000,0
277840000,0
277842000,0
277844000,0
277846000,0
277848000,0
277850000,0
277852000,0
277854000,0
277856000,0
277858000,0
277860000,0
277862000,0
277864000,0
277866000,0
277868000,0
277870000,0
277872000,0
277874001,0
277876000,0
277878000,0
277880000,0
277882000,0
277884001,0
277886000,0
277888000,0
277890000,0
277892000,0
277894000,0
277896000,0
277898000,0
277900000,0
277902000,0
277904000,0
277906000,0
277908000,0
277910001,0
277912001,0
277914000,0
277916001,0
277918001,0
277920001,0
277922001,0
277924001,0
277926000,0
277928000,0
277930000,0
277932001,0
277934000,0
277936000,0
277938000,0
277940001,0
277942001,0
277944001,0
277946001,0
277948001,0
277950000,0
277952001,0
277954000,0
277956001,0
277958001,0
277960001,0
277962001,0
277964001,0
277966001,0
277968001,0
277970000,0
277972000,0
277974000,0
277976000,0
277978000,0
277980000,0
277982000,0
277984000,0
277986000,0
277988000,0
277990000,0
277992000,0
277994000,0
277996000,0
277998000,0
278000000,0
278002000,0
278004001,0
278006001,0
278008001,0
278010000,0
278012000,0
278014000,0
278016001,0
278018001,0
278020000,0
278022000,0
278024000,0
278026000,0
278028000,0
278030000,0
278032000,0
278034000,0
278036000,0
278038000,0
278040000,0
278042000,0
278044001,0
278046000,0
278048000,0
278050000,0
278052000,0
278054000,0
278056000,0
278058000,0
278060000,0
278062000,0
278064000,0
278066000,0
278068000,0
278070000,0
278072000,0
278074000,0
278076000,0
278078000,0
278080000,0
278082001,0
278084001,0
278086001,0
278088000,0
278090000,0
278092000,0
278094000,0
278096000,0
278098000,0
278100000,0
278102000,0
278104000,0
278106000,0
278108001,0
278110001,0
278112001,0
278114000,0
278116000,0
278118000,0
278120000,0
278122000,0
278124000,0
278126000,0
278128000,0
278130001,0
278132000,0
278134000,0
278136000,0
278138000,0
278140000,0
278142001,0
278144001,0
278146000,0
278148000,0
278150000,0
278152000,0
278154000,0
278156000,0
278158000,0
278160000,0
278162001,0
278164001,0
278166000,0
278168001,0
278170000,0
278172000,0
278174000,0
278176000,0
278178000,0
278180000,0
278182001,0
278184000,0
278186000,0
278188000,0
278190000,0
278192000,0
278194001,0
278196001,0
278198000,0
278200000,0
278202000,0
278204000,0
278206000,0
278208000,0
278210000,0
278212000,0
278214000,0
278216000,0
278218000,0
278220001,0
278222001,0
278224000,0
278226000,0
278228000,0
278230000,0
278232000,0
278234000,0
278236000,0
278238000,0
278240001,0
278242000,0
278244000,0
278246000,0
278248000,0
278250000,0
278252000,0
278254000,0
278256001,0
278258000,0
278260000,0
278262000,0
278264000,0
278266000,0
278268000,0
278270000,0
278272000,0
278274001,0
278276000,0
278278000,0
278280000,0
278282000,0
278284001,0
278286001,0
278288001,0
278290001,0
278292001,0
278294001,0
278296001,0
278298001,0
278300001,0
278302001,0
278304001,0
278306001,0
278308001,0
278310001,0
278312000,0
278314000,0
278316000,0
278318000,0
278320000,0
278322000,0
278324000,0
278326000,0
278328000,0
278330000,0
278332000,0
278334000,0
278336000,0
278338000,0
278340000,0
278342000,0
278344000,0
278346000,0
278348000,0
278350000,0
278352000,0
278354000,0
278356000,0
278358000,0
278360000,0
278362000,0
278364000,0
278366000,0
278368000,0
278370000,0
278372000,0
278374001,0
278376001,0
278378001,0
278380001,0
278382001,0
278384001,0
278386000,0
278388000,0
278390001,0
278392001,0
278394000,0
278396000,0
278398000,0
278400000,0
278402000,0
278404001,0
278406000,0
278408000,0
278410000,0
278412000,0
278414000,0
278416000,0
278418000,0
278420000,0
278422000,0
278424000,0
278426000,0
278428000,0
278430000,0
278432000,0
278434001,0
278436001,0
278438001,0
278440001,0
278442001,0
278444001,0
278446001,0
278448000,0
278450000,0
278452000,0
278454000,0
278456000,0
278458000,0
278460000,0
278462000,0
278464000,0
278466000,0
278468000,0
278470000,0
278472000,0
278474000,0
278476000,0
278478000,0
278480001,0
278482000,0
278484000,0
278486000,0
278488001,0
278490001,0
278492000,0
278494000,0
278496000,0
278498000,0
278500000,0
278502000,0
278504000,0
278506000,0
278508000,0
278510001,0
278512000,0
278514001,0
278516001,0
278518001,0
278520000,0
278522000,0
278524000,0
278526000,0
278528000,0
278530001,0
278532000,0
278534001,0
278536001,0
278538000,0
278540000,0
278542000,0
278544000,0
278546000,0
278548000,0
278550000,0
278552000,0
278554000,0
278556000,0
278558001,0
278560001,0
278562001,0
278564001,0
278566001,0
278568001,0
278570000,0
278572000,0
278574000,0
278576000,0
278578000,0
278580000,0
278582001,0
278584000,0
278586000,0
278588000,0
278590000,0
278592000,0
278594000,0
278596000,0
278598000,0
278600000,0
278602000,0
278604000,0
278606000,0
278608000,0
278610000,0
278612000,0
278614001,0
278616001,0
278618001,0
278620001,0
278622000,0
278624000,0
278626001,0
278628000,0
278630000,0
278632000,0
278634001,0
278636001,0
278638001,0
278640001,0
278642000,0
278644000,0
278646000,0
278648000,0
278650000,0
278652000,0
278654000,0
278656000,0
278658000,0
278660000,0
278662000,0
278664000,0
278666000,0
278668000,0
278670000,0
278672001,0
278674001,0
278676000,0
278678000,0
278680000,0
278682000,0
278684000,0
278686001,0
