t_us,adc
6668000,0
6670000,0
6672000,0
6674000,0
6676000,0
6678000,0
6680000,0
6682000,0
6684000,0
6686000,0
6688000,0
6690000,0
6692000,0
6694000,0
6696000,0
6698000,0
6700000,0
6702000,0
6704000,0
6706000,0
6708000,0
6710000,0
6712000,0
6714000,0
6716000,0
6718000,0
6720000,0
6722000,0
6724000,0
6726000,0
6728000,0
6730000,0
6732000,0
6734000,0
6736000,0
6738000,0
6740000,0
6742000,0
6744000,0
6746000,0
6748000,0
6750000,0
6752000,0
6754000,0
6756000,0
6758000,0
6760000,0
6762000,0
6764000,0
6766000,0
6768000,0
6770000,0
6772000,0
6774000,0
6776000,0
6778000,0
6780000,0
6782000,0
6784000,0
6786000,0
6788000,0
6790000,0
6792000,0
6794000,0
6796000,0
6798000,0
6800000,0
6802000,0
6804000,0
6806000,0
6808000,0
6810000,0
6812000,0
6814000,0
6816000,0
6818000,0
6820000,0
6822000,0
6824000,0
6826000,0
6828000,0
6830000,0
6832000,0
6834000,0
6836000,0
6838000,0
6840000,0
6842000,0
6844000,0
6846000,0
6848000,0
6850000,0
6852000,0
6854000,0
6856000,0
6858000,0
6860000,0
6862000,0
6864000,0
6866000,0
6868000,0
6870000,0
6872000,0
6874000,0
6876000,0
6878000,0
6880000,0
6882000,0
6884000,0
6886000,0
6888000,0
6890000,0
6892000,0
6894000,0
6896000,0
6898000,0
6900000,0
6902000,0
6904000,0
6906000,0
6908000,0
6910000,0
6912000,0
6914000,0
6916000,0
6918000,0
6920000,0
6922000,0
6924000,0
6926000,0
6928000,0
6930000,0
6932000,0
6934000,0
6936000,0
6938000,0
6940000,0
6942000,0
6944000,0
6946000,0
6948000,0
6950000,0
6952000,0
6954000,0
6956000,0
6958000,0
6960000,0
6962000,0
6964000,0
6966000,0
6968000,0
6970000,0
6972000,0
6974000,0
6976000,0
6978000,0
6980000,0
6982000,0
6984000,0
6986000,0
6988000,0
6990000,0
6992000,0
6994000,0
6996000,0
6998000,0
7000000,0
7002000,0
7004000,0
7006000,0
7008000,0
7010000,0
7012000,0
7014000,0
7016000,0
7018000,0
7020000,0
7022000,0
7024000,0
7026000,0
7028000,0
7030000,0
7032000,0
7034000,0
7036000,0
7038000,0
7040000,0
7042000,0
7044000,0
7046000,0
7048000,0
7050000,0
7052000,0
7054000,0
7056000,0
7058000,0
7060000,0
7062000,0
7064000,0
7066000,0
7068000,0
7070000,0
7072000,0
7074000,0
7076000,0
7078000,0
7080000,0
7082000,0
7084000,0
7086000,0
7088000,0
7090000,0
7092000,0
7094000,0
7096000,0
7098000,0
7100000,0
7102000,0
7104000,0
7106000,0
7108000,0
7110000,0
7112000,0
7114000,0
7116000,0
7118000,0
7120000,0
7122000,0
7124000,0
7126000,0
7128000,0
7130000,0
7132000,0
7134000,0
7136000,0
7138000,0
7140000,0
7142000,0
7144000,0
7146000,0
7148000,0
7150000,0
7152000,0
7154000,0
7156000,0
7158000,0
7160000,0
7162000,0
7164000,0
7166000,0
7168000,0
7170000,0
7172000,0
7174000,0
7176000,0
7178000,0
7180000,0
7182000,0
7184000,0
7186000,0
7188000,0
7190000,0
7192000,0
7194000,0
7196000,0
7198000,0
7200000,0
7202000,0
7204000,0
7206000,0
7208000,0
7210000,0
7212000,0
7214000,0
7216000,0
7218000,0
7220000,0
7222000,0
7224000,0
7226000,0
7228000,0
7230000,0
7232000,0
7234000,0
7236000,0
7238000,0
7240000,0
7242000,0
7244000,0
7246000,0
7248000,0
7250000,0
7252000,0
7254000,0
7256000,0
7258000,0
7260000,0
7262000,0
7264000,0
7266000,0
7268000,0
7270000,0
7272000,0
7274000,0
7276000,0
7278000,0
7280000,0
7282000,0
7284000,0
7286000,0
7288000,0
7290000,0
7292000,0
7294000,0
7296000,0
7298000,0
7300000,0
7302000,0
7304000,0
7306000,0
7308000,0
7310000,0
7312000,0
7314000,0
7316000,0
7318000,0
7320000,0
7322000,0
7324000,0
7326000,0
7328000,0
7330000,0
7332000,0
7334000,0
7336000,0
7338000,0
7340000,0
7342000,0
7344000,0
7346000,0
7348000,0
7350000,0
7352000,0
7354000,0
7356000,0
7358000,0
7360000,0
7362000,0
7364000,0
7366000,0
7368000,0
7370000,0
7372000,0
7374000,0
7376000,0
7378000,0
7380000,0
7382000,0
7384000,0
7386000,0
7388000,0
7390000,0
7392000,0
7394000,0
7396000,0
7398000,0
7400000,0
7402000,0
7404000,0
7406000,0
7408000,0
7410000,0
7412000,0
7414000,0
7416000,0
7418000,0
7420000,0
7422000,0
7424000,0
7426000,0
7428000,0
7430000,0
7432000,0
7434000,0
7436000,0
7438000,0
7440000,0
7442000,0
7444000,0
7446000,0
7448000,0
7450000,0
7452000,0
7454000,0
7456000,0
7458000,0
7460000,0
7462000,0
7464000,0
7466000,0
7468000,0
7470000,0
7472000,0
7474000,0
7476000,0
7478000,0
7480000,0
7482000,0
7484000,0
7486000,0
7488000,0
7490000,0
7492000,0
7494000,0
7496000,0
7498000,0
7500000,0
7502000,0
7504000,0
7506000,0
7508000,0
7510000,0
7512000,0
7514000,0
7516000,0
7518000,0
7520000,0
7522000,0
7524000,0
7526000,0
7528000,0
7530000,0
7532000,0
7534000,0
7536000,0
7538000,0
7540000,0
7542000,0
7544000,0
7546000,0
7548000,0
7550000,0
7552000,0
7554000,0
7556000,0
7558000,0
7560000,0
7562000,0
7564000,0
7566000,0
7568000,0
7570000,0
7572000,0
7574000,0
7576000,0
7578000,0
7580000,0
7582000,0
7584000,0
7586000,0
7588000,0
7590000,0
7592000,0
7594000,0
7596000,0
7598000,0
7600000,0
7602000,0
7604000,0
7606000,0
7608000,0
7610000,0
7612000,0
7614000,0
7616000,0
7618000,0
7620000,0
7622000,0
